,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
11,10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13/06/2017 11:53:34,914675,2,0,0,0,0,0,0,0,0,0,0,0,0,2.186569,914675,0,914675,914675,914675,914675,0,914675,914675,0,0,0,0,0,0,0,0,0,64,0,2.186569,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
12,10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13/06/2017 11:53:37,3692864,2,0,0,0,0,0,0,0,0,0,0,0,0,0.541585068,3692864,0,3692864,3692864,3692864,3692864,0,3692864,3692864,0,0,0,0,0,0,0,0,0,64,0,0.541585068,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
13,10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13/06/2017 11:53:48,14770330,2,0,0,0,0,0,0,0,0,0,0,0,0,0.135406589,14770330,0,14770330,14770330,14770330,14770330,0,14770330,14770330,0,0,0,0,0,0,0,0,0,64,0,0.135406589,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
14,10.42.0.211-52.221.112.186-49564-7077-6,10.42.0.211,49564,52.221.112.186,7077,6,13/06/2017 11:53:18,65695129,4,4,568,442,568,0,142,284,442,0,110.5,221,15.37404699,0.12177463,9385018.429,24522844.33,64997021,2496,698108,232702.6667,204487.2367,406923,7569,65436079,21812026.33,37401978.6,64999517,22091,0,0,0,0,136,136,0.060887315,0.060887315,0,568,112.2222222,224.9009659,50580.44444,0,0,0,1,0,0,0,0,1,126.25,142,110.5,136,0,0,0,0,0,0,4,568,4,442,65535,149,1,32,0,0,0,0,0,0,0,0,Android_Adware
15,10.42.0.211-121.41.26.103-33026-8090-6,10.42.0.211,33026,121.41.26.103,8090,6,13/06/2017 11:53:27,65823449,4,4,279,1200,279,0,69.75,139.5,1200,0,300,600,22.46919635,0.121537235,9403349.857,24464704.08,64883252,1724,940197,313399,262591.0454,481980,10844,65488823,21829607.67,37388692.54,65001447,1724,0,0,0,0,136,136,0.060768618,0.060768618,0,1200,164.3333333,399.1854206,159349,0,0,0,1,0,0,0,0,1,184.875,69.75,300,136,0,0,0,0,0,0,4,279,4,1200,65535,122,1,32,0,0,0,0,0,0,0,0,Android_Adware
16,10.42.0.211-31.13.71.1-47706-443-6,10.42.0.211,47706,31.13.71.1,443,6,13/06/2017 11:53:35,71205206,5,6,217,257,217,0,43.4,97.04535022,138,0,42.83333333,56.08713459,6.656816638,0.154483087,7120520.6,20427314.77,64998661,32,6206497,1551624.25,3057191.657,6137349,539,71175165,14235033,28504743.52,65001145,32,0,0,0,0,168,200,0.070219585,0.084263502,0,217,39.5,70.77685806,5009.363636,0,0,0,1,0,0,0,0,1,43.09090909,43.4,42.83333333,168,0,0,0,0,0,0,5,217,6,257,65535,114,1,32,34574,2283.954903,36189,32959,35568005,41621232.86,64998661,6137349,Android_Adware
17,10.42.0.211-31.13.71.1-47707-443-6,10.42.0.211,47707,31.13.71.1,443,6,13/06/2017 11:53:35,71166704,4,6,219,257,219,0,54.75,109.5,138,0,42.83333333,56.08713459,6.688521081,0.140515149,7907411.556,21504867.36,65001606,16,6165053,2055017.667,3502944.891,6099870,32260,71136834,14227366.8,28508790.46,65003799,16,0,0,0,0,136,200,0.05620606,0.084309089,0,219,43.27272727,73.55282579,5410.018182,0,0,0,1,0,0,0,0,1,47.6,54.75,42.83333333,136,0,0,0,0,0,0,4,219,6,257,65535,114,1,32,32591.5,468.8117959,32923,32260,35550738,41649816.95,65001606,6099870,Android_Adware
18,10.42.0.211-31.13.71.37-50923-443-6,10.42.0.211,50923,31.13.71.37,443,6,13/06/2017 11:53:43,65110831,9,9,1404,751,1078,0,156,353.9897597,422,0,83.44444444,134.5149723,33.09741201,0.276451701,3830048.882,15723280.2,64845229,29,265556,33194.5,43731.02068,122500,937,65080769,8135096.125,22915701.06,64848404,29,0,0,0,0,296,296,0.138225851,0.138225851,0,1078,113.4210526,256.5251376,65805.1462,0,0,0,1,0,0,0,0,1,119.7222222,156,83.44444444,296,0,0,0,0,0,0,9,1404,9,751,65535,122,3,32,265556,0,265556,265556,64845229,0,64845229,64845229,Android_Adware
19,10.42.0.211-31.13.71.37-50923-443-6,10.42.0.211,50923,31.13.71.37,443,6,13/06/2017 11:54:48,436,3,0,42,0,42,0,14,24.24871131,0,0,0,0,96330.27523,6880.733945,218,155.5634919,328,108,436,218,155.5634919,328,108,0,0,0,0,0,0,0,0,0,96,0,6880.733945,0,0,42,10.5,21,441,0,0,0,0,1,0,0,0,0,14,14,0,96,0,0,0,0,0,0,3,42,0,0,1403,-1,1,32,0,0,0,0,0,0,0,0,Android_Adware
20,172.217.6.202-10.42.0.211-443-37041-6,172.217.6.202,443,10.42.0.211,37041,6,13/06/2017 11:54:50,44,2,0,55,0,55,0,27.5,38.89087297,0,0,0,0,1250000,45454.54545,44,0,44,44,44,44,0,44,44,0,0,0,0,0,1,0,0,0,64,0,45454.54545,0,0,55,36.66666667,31.75426481,1008.333333,0,1,0,0,1,0,0,0,0,55,27.5,0,64,0,0,0,0,0,0,2,55,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
21,172.217.6.202-10.42.0.211-443-37041-6,10.42.0.211,37041,172.217.6.202,443,6,13/06/2017 11:54:50,25340,4,0,61,0,38,0,15.25,18.64358692,0,0,0,0,2407.261247,157.8531965,8446.666667,13784.01249,24358,143,25340,8446.666667,13784.01249,24358,143,0,0,0,0,0,0,0,0,0,128,0,157.8531965,0,0,38,12.2,17.52712184,307.2,0,0,0,0,1,0,0,0,0,15.25,15.25,0,128,0,0,0,0,0,0,4,61,0,0,1909,-1,2,32,0,0,0,0,0,0,0,0,Android_Adware
22,10.42.0.211-31.13.69.203-58830-443-6,10.42.0.211,58830,31.13.69.203,443,6,13/06/2017 11:53:48,66893737,42,98,1366,106481,330,0,32.52380952,78.26385581,1398,0,1086.540816,551.3120464,1612.213711,2.092871564,481249.9065,5512557.066,64999919,4,1893758,46189.21951,143128.6619,749579,15,66858866,689266.6598,6599122.629,65006472,4,0,0,0,0,1352,3144,0.627861469,1.465010095,0,1398,764.8723404,670.7404741,449892.7836,0,0,0,1,0,0,0,0,2,770.3357143,32.52380952,1086.540816,1352,0,0,0,0,0,0,42,1366,98,106481,65535,126,10,32,1893758,0,1893758,1893758,64999919,0,64999919,64999919,Android_Adware
23,10.42.0.211-31.13.69.203-58830-443-6,31.13.69.203,443,10.42.0.211,58830,6,13/06/2017 11:54:55,32138,1,1,0,0,0,0,0,0,0,0,0,0,0,62.23162611,32138,0,32138,32138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.11581306,31.11581306,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,126,4885,0,32,0,0,0,0,0,0,0,0,Android_Adware
24,10.42.0.211-31.13.69.228-34245-443-6,10.42.0.211,34245,31.13.69.228,443,6,13/06/2017 11:53:50,65472885,21,23,2596,9938,528,0,123.6190476,179.2401953,1398,0,432.0869565,513.0966516,191.4380281,0.672033927,1522625.233,9902875.314,64949507,13,523321,26166.05,52347.77745,235017,115,65437908,2974450.364,13853075.74,64997080,13,0,0,0,0,680,744,0.320743465,0.351290462,0,1398,278.5333333,414.4629384,171779.5273,0,0,0,1,0,0,0,0,1,284.8636364,123.6190476,432.0869565,680,0,0,0,0,0,0,21,2596,23,9938,65535,139,10,32,523321,0,523321,523321,64949507,0,64949507,64949507,Android_Adware
25,10.42.0.211-31.13.69.228-34245-443-6,10.42.0.211,34245,31.13.69.228,443,6,13/06/2017 11:54:55,183,3,0,0,0,0,0,0,0,0,0,0,0,0,16393.44262,91.5,6.363961031,96,87,183,91.5,6.363961031,96,87,0,0,0,0,0,0,0,0,0,96,0,16393.44262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,1824,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
26,216.58.219.238-10.42.0.211-80-47132-6,216.58.219.238,80,10.42.0.211,47132,6,13/06/2017 11:55:04,239120,2,0,0,0,0,0,0,0,0,0,0,0,0,8.364001338,239120,0,239120,239120,239120,239120,0,239120,239120,0,0,0,0,0,0,0,0,0,64,0,8.364001338,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
27,172.217.6.238-10.42.0.211-443-41528-6,172.217.6.238,443,10.42.0.211,41528,6,13/06/2017 11:55:08,246066,2,1,0,0,0,0,0,0,0,0,0,0,0,12.19185097,123033,149070.8374,228442,17624,246066,246066,0,246066,246066,0,0,0,0,0,0,0,0,0,64,32,8.127900645,4.063950322,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,362,1549,0,32,0,0,0,0,0,0,0,0,Android_Adware
28,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,13/06/2017 11:52:53,96052881,3,0,0,0,0,0,0,0,0,0,0,0,0,0.031232796,48026440.5,3626727.346,50590924,45461957,96052881,48026440.5,3626727.346,50590924,45461957,0,0,0,0,0,0,0,0,0,0,0,0.031232796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,48026440.5,3626727.346,50590924,45461957,Android_Adware
29,10.42.0.211-121.41.26.103-36385-8090-6,10.42.0.211,36385,121.41.26.103,8090,6,13/06/2017 11:54:11,65666616,4,4,279,1200,279,0,69.75,139.5,1200,0,300,600,22.52286002,0.121827505,9380945.143,24497832.74,64935794,957,730822,243607.3333,212209.7427,394489,957,65337860,21779286.67,37430635.91,65000029,1348,0,0,0,0,136,136,0.060913753,0.060913753,0,1200,164.3333333,399.1854206,159349,0,0,0,1,0,0,0,0,1,184.875,69.75,300,136,0,0,0,0,0,0,4,279,4,1200,65535,122,1,32,0,0,0,0,0,0,0,0,Android_Adware
30,169.47.5.248-10.42.0.211-443-42598-6,10.42.0.211,42598,169.47.5.248,443,6,13/06/2017 11:53:18,116413035,53,45,1830,1295,307,0,34.52830189,78.95875354,283,0,28.77777778,48.91545995,26.84407292,0.841830127,1200134.381,4573768.257,25563137,104,116340791,2237322.904,6110290.166,25563137,104,116341149,2644117.023,6569566.264,25675544,328,1,0,0,0,1696,1440,0.455275477,0.38655465,0,307,31.5959596,66.32509901,4399.018759,0,1,0,0,1,0,0,0,0,31.91836735,34.52830189,28.77777778,1696,0,0,0,0,0,0,53,1830,45,1295,1416,514,33,32,2013614.8,1825736.552,4241128,127694,20282884.2,4062798.52,25563137,16215824,Android_Adware
31,172.217.3.110-10.42.0.211-443-50495-6,172.217.3.110,443,10.42.0.211,50495,6,13/06/2017 11:55:29,248207,2,1,0,0,0,0,0,0,0,0,0,0,0,12.08668571,124103.5,172051.1007,245762,2445,248207,248207,0,248207,248207,0,0,0,0,0,0,0,0,0,64,32,8.057790473,4.028895237,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,468,1419,0,32,0,0,0,0,0,0,0,0,Android_Adware
32,156.154.200.36-10.42.0.211-443-55703-6,10.42.0.211,55703,156.154.200.36,443,6,13/06/2017 11:55:36,355853,10,10,891,4989,368,0,89.1,148.4411219,1448,0,498.9,672.5003841,16523.67691,56.20298269,18729.10526,26412.61433,98334,22,316467,35163,31115.94773,98334,67,318067,35340.77778,50095.15691,140031,22,0,0,0,0,328,328,28.10149135,28.10149135,0,1448,280,509.4420477,259531.2,0,0,0,1,0,0,0,0,1,294,89.1,498.9,328,0,0,0,0,0,0,10,891,10,4989,65535,5271,3,32,0,0,0,0,0,0,0,0,Android_Adware
33,156.154.200.36-10.42.0.211-443-55703-6,10.42.0.211,55703,156.154.200.36,443,6,13/06/2017 11:55:36,17239,2,0,0,0,0,0,0,0,0,0,0,0,0,116.0160102,17239,0,17239,17239,17239,17239,0,17239,17239,0,0,0,0,0,0,0,0,0,64,0,116.0160102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
34,10.42.0.211-23.206.168.52-40705-443-6,10.42.0.211,40705,23.206.168.52,443,6,13/06/2017 11:55:36,271354,8,10,829,5771,486,0,103.625,174.5426166,1448,0,577.1,619.1547015,24322.47175,66.33401387,15962,28733.54933,113319,9,228565,32652.14286,38070.89682,113319,238,247812,27534.66667,53253.51803,158379,9,0,0,0,0,264,328,29.48178394,36.85222993,0,1448,347.3684211,515.7059035,265952.5789,0,0,0,1,0,0,0,0,1,366.6666667,103.625,577.1,264,0,0,0,0,0,0,8,829,10,5771,65535,972,3,32,0,0,0,0,0,0,0,0,Android_Adware
35,10.42.0.211-23.206.168.52-40705-443-6,10.42.0.211,40705,23.206.168.52,443,6,13/06/2017 11:55:37,28741,3,0,0,0,0,0,0,0,0,0,0,0,0,104.3805017,14370.5,20190.01992,28647,94,28741,14370.5,20190.01992,28647,94,0,0,0,0,0,0,0,0,0,96,0,104.3805017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
36,172.217.8.3-10.42.0.211-443-51400-6,172.217.8.3,443,10.42.0.211,51400,6,13/06/2017 11:54:25,75986659,1,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,0.407966351,0.052640819,25328886.33,43740909.29,75836465,811,0,0,0,0,0,75837276,37918638,53623905.2,75836465,811,0,0,0,0,32,96,0.013160205,0.039480615,0,31,6.2,13.86362146,192.2,0,0,0,0,1,1,0,0,3,7.75,0,10.33333333,32,0,0,0,0,0,0,1,0,3,31,362,1775,0,32,149383,0,149383,149383,75836465,0,75836465,75836465,Android_Adware
37,162.208.22.39-10.42.0.211-443-39706-6,10.42.0.211,39706,162.208.22.39,443,6,13/06/2017 11:55:36,5325354,10,10,1252,5120,474,0,125.2,179.2985096,1460,0,512,570.5075713,1196.540174,3.755618875,280281.7895,1134333.768,4963575,21,361726,40191.77778,31320.51211,85366,50,5283891,587099,1655340.021,4999982,21,0,0,0,0,220,212,1.877809438,1.877809438,0,1460,303.4285714,450.7430057,203169.2571,0,0,0,1,0,0,0,0,1,318.6,125.2,512,220,0,0,0,0,0,0,10,1252,10,5120,65535,66,4,20,0,0,0,0,0,0,0,0,Android_Adware
38,172.217.7.132-10.42.0.211-443-44593-6,172.217.7.132,443,10.42.0.211,44593,6,13/06/2017 11:55:42,544353,1,2,0,0,0,0,0,0,0,0,0,0,0,5.511129726,272176.5,272129.3376,464601,79752,0,0,0,0,0,464601,464601,0,464601,464601,0,0,0,0,32,64,1.837043242,3.674086484,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,349,1414,0,32,0,0,0,0,0,0,0,0,Android_Adware
39,10.42.0.211-54.225.210.102-56560-443-6,10.42.0.211,56560,54.225.210.102,443,6,13/06/2017 11:55:36,6672231,11,9,726,5800,387,0,66,127.7098273,1448,0,644.4444444,649.6100967,978.0836425,2.997498138,351170.0526,985722.8183,3370025,5,6672231,667223.1,1317413.244,3370025,459,3211060,401382.5,1029399.296,2946023,5,0,0,0,0,360,296,1.648623976,1.348874162,0,1448,310.7619048,514.6215022,264835.2905,0,0,0,1,0,0,0,0,0,326.3,66,644.4444444,360,0,0,0,0,0,0,11,726,9,5800,65535,79,3,32,0,0,0,0,0,0,0,0,Android_Adware
40,162.208.22.39-10.42.0.211-443-39706-6,10.42.0.211,39706,162.208.22.39,443,6,13/06/2017 11:55:41,1331014,3,0,0,0,0,0,0,0,0,0,0,0,0,2.253920695,665507,893015.0535,1296964,34050,1331014,665507,893015.0535,1296964,34050,0,0,0,0,0,0,0,0,0,60,0,2.253920695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,1643,-1,0,20,0,0,0,0,0,0,0,0,Android_Adware
41,10.42.0.211-52.5.149.245-35863-443-6,10.42.0.211,35863,52.5.149.245,443,6,13/06/2017 11:55:36,6446867,12,8,782,3477,438,0,65.16666667,136.2763458,1448,0,434.625,640.9189691,660.6309701,3.102282085,339308.7895,1280691.857,5609436,18,6446867,586078.8182,1672291.055,5611949,138,5917175,845310.7143,2119137.14,5649855,18,0,0,0,0,392,264,1.861369251,1.240912834,0,1448,202.8095238,434.6325596,188905.4619,0,0,0,1,0,0,0,0,0,212.95,65.16666667,434.625,392,0,0,0,0,0,0,12,782,8,3477,65535,123,3,32,358329,0,358329,358329,5609436,0,5609436,5609436,Android_Adware
42,10.42.0.211-54.225.210.102-56561-443-6,10.42.0.211,56561,54.225.210.102,443,6,13/06/2017 11:55:36,8256705,8,9,339,5273,213,0,42.375,81.83596398,1448,0,585.8888889,684.3430142,679.6900216,2.05893271,516044.0625,1373628.751,4954663,7,3302042,471720.2857,1055629.61,2859449,577,8205624,1025703,1874937.876,4994870,7,0,0,0,0,264,296,0.968909511,1.090023199,0,1448,311.7777778,550.269619,302796.6536,0,0,0,1,0,0,0,0,1,330.1176471,42.375,585.8888889,264,0,0,0,0,0,0,8,339,9,5273,65535,75,2,32,0,0,0,0,0,0,0,0,Android_Adware
43,10.42.0.211-68.67.178.196-56915-443-6,10.42.0.211,56915,68.67.178.196,443,6,13/06/2017 11:55:36,10387566,12,11,1288,6929,480,0,107.3333333,175.3916829,1448,0,629.9090909,640.8504435,791.0419053,2.214185691,472162.0909,2128127.135,9999633,7,387889,35262.63636,27045.34559,89484,117,10355042,1035504.2,3151192.125,10002913,7,0,0,0,0,392,360,1.155227317,1.058958374,0,1448,342.375,516.4623655,266733.375,0,0,0,1,0,0,0,0,0,357.2608696,107.3333333,629.9090909,392,0,0,0,0,0,0,12,1288,11,6929,65535,66,4,32,387889,0,387889,387889,9999633,0,9999633,9999633,Android_Adware
